Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Date,State,TotalSamples,Negative,Positive
3410,25-06-2020,8:00 AM,Mizoram,-,-,19,0,142,01-02-2021,Karnataka,249931,9098,4408,249931,0,80913,168980,38,3237,246694,,,,,,,,,,,,09-07-2020,Dadra and Nagar Haveli and Daman and Diu,35391,34585,454
3411,25-06-2020,8:00 AM,Nagaland,-,-,148,0,347,02-02-2021,Karnataka,250715,9273,4455,250715,0,81212,169465,38,3237,247478,,,,,,,,,,,,10-07-2020,Dadra and Nagar Haveli and Daman and Diu,35829,34827,468
3412,25-06-2020,8:00 AM,Odisha,-,-,4123,17,5752,03-02-2021,Karnataka,251723,9830,4554,251723,0,81635,170050,38,3237,248486,,,,,,,,,,,,11-07-2020,Dadra and Nagar Haveli and Daman and Diu,36166,35279,480
3413,25-06-2020,8:00 AM,Puducherry,-,-,176,9,461,04-02-2021,Karnataka,265577,10732,4689,265577,0,86565,178974,38,3347,262230,,,,,,,,,,,,12-07-2020,Dadra and Nagar Haveli and Daman and Diu,36310,35611,495
3414,25-06-2020,8:00 AM,Punjab,-,-,3099,113,4627,05-02-2021,Karnataka,295307,11583,4794,295307,0,95612,199636,59,3611,291696,,,,,,,,,,,,13-07-2020,Dadra and Nagar Haveli and Daman and Diu,36621,35696,520
3415,25-06-2020,8:00 AM,Rajasthan,-,-,12611,375,16009,06-02-2021,Karnataka,321521,12094,4900,321521,0,103745,217707,69,3960,317561,,,,,,,,,,,,14-07-2020,Dadra and Nagar Haveli and Daman and Diu,36905,35963,536
3416,25-06-2020,8:00 AM,Sikkim,-,-,39,0,84,07-02-2021,Karnataka,325554,12737,5064,325554,0,105648,219837,69,4641,320913,,,,,,,,,,,,15-07-2020,Dadra and Nagar Haveli and Daman and Diu,37392,36195,552
3417,25-06-2020,8:00 AM,Tamil Nadu,-,-,37763,866,67468,08-02-2021,Karnataka,350327,13474,5173,350327,0,121975,228283,69,4714,345613,,,,,,,,,,,,16-07-2020,Dadra and Nagar Haveli and Daman and Diu,37880,36548,570
3418,25-06-2020,8:00 AM,Telengana,-,-,4361,225,10444,09-02-2021,Karnataka,379152,14071,5259,379152,0,142146,236937,69,4754,374398,,,,,,,,,,,,17-07-2020,Dadra and Nagar Haveli and Daman and Diu,38176,36898,601
3419,25-06-2020,8:00 AM,Tripura,-,-,897,1,1259,10-02-2021,Karnataka,403105,14562,5326,403105,0,160426,242606,73,4760,398345,,,,,,,,,,,,18-07-2020,Dadra and Nagar Haveli and Daman and Diu,38313,37291,646
3420,25-06-2020,8:00 AM,Uttarakhand,-,-,1721,35,2623,11-02-2021,Karnataka,415241,15207,5443,415241,0,169589,245579,73,4772,410469,,,,,,,,,,,,19-07-2020,Dadra and Nagar Haveli and Daman and Diu,38640,37520,684
3421,25-06-2020,8:00 AM,Uttar Pradesh,-,-,12586,596,19557,12-02-2021,Karnataka,430303,15543,5492,430303,0,179657,250572,74,4782,425521,,,,,,,,,,,,20-07-2020,Dadra and Nagar Haveli and Daman and Diu,38880,37789,705
3422,25-06-2020,8:00 AM,West Bengal,-,-,9702,591,15173,13-02-2021,Karnataka,435685,15719,5547,435670,15,183096,252500,74,4782,430888,,,,,,,,,,,,21-07-2020,Dadra and Nagar Haveli and Daman and Diu,39199,38022,733
3423,25-06-2020,8:00 AM,Cases being reassigned to states,-,-,0,0,8493,14-02-2021,Karnataka,435835,16274,5560,435820,15,183220,252526,74,4782,431038,,,,,,,,,,,,24-07-2020,Dadra and Nagar Haveli and Daman and Diu,40425,39019,854
3424,26-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,59,15-02-2021,Karnataka,462838,17101,5594,451537,11301,190356,261104,77,5059,446478,,,,,,,,,,,,25-07-2020,Dadra and Nagar Haveli and Daman and Diu,40881,39431,890
3425,26-06-2020,8:00 AM,Andhra Pradesh,-,-,4988,136,10884,16-02-2021,Karnataka,501618,18099,5614,473092,28526,197243,275768,81,5293,467799,,,,,,,,,,,,26-07-2020,Dadra and Nagar Haveli and Daman and Diu,41143,39815,940
3426,26-06-2020,8:00 AM,Arunachal Pradesh,-,-,38,1,160,17-02-2021,Karnataka,560044,18868,5644,505305,54739,205586,299633,86,5607,499698,,,,,,,,,,,,28-07-2020,Dadra and Nagar Haveli and Daman and Diu,41588,40258,1020
3427,26-06-2020,8:00 AM,Assam,-,-,4033,9,6321,18-02-2021,Karnataka,537677,19974,5673,472428,65249,203839,268504,85,5433,466995,,,,,,,,,,,,29-07-2020,Dadra and Nagar Haveli and Daman and Diu,41895,40411,1058
3428,26-06-2020,8:00 AM,Bihar,-,-,6441,57,8473,19-02-2021,Karnataka,637368,20768,5706,535611,101757,222648,312875,88,5833,529778,,,,,,,,,,,,30-07-2020,Dadra and Nagar Haveli and Daman and Diu,42148,40564,1093
3429,26-06-2020,8:00 AM,Chandigarh,-,-,329,6,423,20-02-2021,Karnataka,663860,21643,5735,546779,117081,230000,316691,88,5873,540906,,,,,,,,,,,,31-07-2020,Dadra and Nagar Haveli and Daman and Diu,42403,40775,1136
3430,26-06-2020,8:00 AM,Chhattisgarh,-,-,1755,12,2452,21-02-2021,Karnataka,665580,25428,5842,547587,117993,230535,316962,90,5873,541714,,,,,,,,,,,,01-08-2020,Dadra and Nagar Haveli and Daman and Diu,42635,40916,1181
3431,26-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,32,0,155,22-02-2021,Karnataka,705083,27219,5866,560544,144539,238783,321671,90,5965,554579,,,,,,,,,,,,02-08-2020,Dadra and Nagar Haveli and Daman and Diu,42718,41132,1232
3432,26-06-2020,8:00 AM,Delhi,-,-,44765,2429,73780,23-02-2021,Karnataka,738792,27768,5878,575708,163084,248773,326853,82,6079,569629,,,,,,,,,,,,03-08-2020,Dadra and Nagar Haveli and Daman and Diu,42926,41402,1265
3433,26-06-2020,8:00 AM,Goa,-,-,335,2,995,24-02-2021,Karnataka,777394,28762,5890,592088,185306,259552,332454,82,6250,585838,,,,,,,,,,,,04-08-2020,Dadra and Nagar Haveli and Daman and Diu,43191,41514,1304
3434,26-06-2020,8:00 AM,Gujarat,-,-,21498,1753,29520,25-02-2021,Karnataka,802101,30150,5908,601961,200140,266242,335637,82,6321,595640,,,,,,,,,,,,05-08-2020,Dadra and Nagar Haveli and Daman and Diu,43478,41781,1368
3435,26-06-2020,8:00 AM,Haryana,-,-,7380,198,12463,26-02-2021,Karnataka,833025,30377,5911,611335,221690,272970,338283,82,6374,604961,,,,,,,,,,,,06-08-2020,Dadra and Nagar Haveli and Daman and Diu,43899,42059,1412
3436,26-06-2020,8:00 AM,Himachal Pradesh,-,-,477,9,839,27-02-2021,Karnataka,833025,30377,5911,611335,221690,272970,338283,82,6374,604961,,,,,,,,,,,,07-08-2020,Dadra and Nagar Haveli and Daman and Diu,44456,42608,1456
3437,26-06-2020,8:00 AM,Jammu and Kashmir,-,-,3967,90,6549,28-02-2021,Karnataka,833025,30421,5915,611335,221690,272970,338283,82,6374,604961,,,,,,,,,,,,08-08-2020,Dadra and Nagar Haveli and Daman and Diu,44777,42805,1505
3438,26-06-2020,8:00 AM,Jharkhand,-,-,1605,12,2262,01-03-2021,Karnataka,833025,31389,5974,611335,221690,272970,338283,82,6374,604961,,,,,,,,,,,,09-08-2020,Dadra and Nagar Haveli and Daman and Diu,45253,43165,
3439,26-06-2020,8:00 AM,Karnataka,-,-,6670,170,10560,02-03-2021,Karnataka,845726,32414,5990,621289,224437,279192,342014,83,6415,614874,,,,,,,,,,,,10-08-2020,Dadra and Nagar Haveli and Daman and Diu,45724,43579,
3440,26-06-2020,8:00 AM,Kerala,-,-,1943,22,3726,03-03-2021,Karnataka,860417,33347,6002,633181,227236,286197,346903,81,6447,626734,,,,,,,,,,,,11-08-2020,Dadra and Nagar Haveli and Daman and Diu,46149,43919,
3441,26-06-2020,8:00 AM,Ladakh,-,-,358,1,941,04-03-2021,Karnataka,875597,34949,6019,645171,230426,292928,352160,83,6498,638673,,,,,,,,,,,,12-08-2020,Dadra and Nagar Haveli and Daman and Diu,46516,44328,
3442,26-06-2020,8:00 AM,Madhya Pradesh,-,-,9619,542,12596,05-03-2021,Karnataka,897268,41281,6039,661097,236171,301588,359425,84,6536,654561,,,,,,,,,,,,13-08-2020,Dadra and Nagar Haveli and Daman and Diu,46937,44712,
3443,26-06-2020,8:00 AM,Maharashtra,-,-,77453,6931,147741,06-03-2021,Karnataka,923407,56159,6132,678604,244803,310707,367813,84,6561,672043,,,,,,,,,,,,14-08-2020,Dadra and Nagar Haveli and Daman and Diu,47272,45021,1797
3444,26-06-2020,8:00 AM,Manipur,-,-,354,0,1056,07-03-2021,Karnataka,925831,65298,6200,680182,245649,311451,368647,84,6560,673622,,,,,,,,,,,,15-08-2020,Dadra and Nagar Haveli and Daman and Diu,47643,45335,1843
3445,26-06-2020,8:00 AM,Meghalaya,-,-,42,1,46,08-03-2021,Karnataka,994382,68505,6238,729461,264921,336214,393159,88,6613,722848,,,,,,,,,,,,16-08-2020,Dadra and Nagar Haveli and Daman and Diu,48212,45676,1878
3446,26-06-2020,8:00 AM,Mizoram,-,-,30,0,145,09-03-2021,Karnataka,788948,163150,1144,511728,277220,364689,424140,119,7220,781675,,,,,,,,,,,,17-08-2020,Dadra and Nagar Haveli and Daman and Diu,48710,46224,1908
3447,26-06-2020,8:00 AM,Nagaland,-,-,160,0,355,10-03-2021,Karnataka,879486,359585,2887,581668,297818,410153,469202,131,7364,872069,,,,,,,,,,,,18-08-2020,Dadra and Nagar Haveli and Daman and Diu,49290,46665,1951
3448,26-06-2020,8:00 AM,Odisha,-,-,4291,17,5962,11-03-2021,Karnataka,895719,104812,624,594042,301677,418172,477414,133,7364,888302,,,,,,,,,,,,19-08-2020,Dadra and Nagar Haveli and Daman and Diu,49879,47184,1995
3449,26-06-2020,8:00 AM,Puducherry,-,-,187,9,502,12-03-2021,Karnataka,998460,388300,3094,680155,318305,471306,527012,142,7523,990884,,,,,,,,,,,,20-08-2020,Dadra and Nagar Haveli and Daman and Diu,50293,47703,2030
3450,26-06-2020,8:00 AM,Punjab,-,-,3192,120,4769,13-03-2021,Karnataka,1048543,237140,1747,723061,325482,496703,551696,144,7646,1040844,,,,,,,,,,,,21-08-2020,Dadra and Nagar Haveli and Daman and Diu,50923,48105,2082
3451,26-06-2020,8:00 AM,Rajasthan,-,-,12840,379,16296,14-03-2021,Karnataka,1067628,104350,693,741104,326524,505972,561510,146,7673,1059902,,,,,,,,,,,,22-08-2020,Dadra and Nagar Haveli and Daman and Diu,51285,48524,2120
3452,26-06-2020,8:00 AM,Sikkim,-,-,39,0,85,15-03-2021,Karnataka,1233619,408780,3284,893702,339917,588259,645203,157,9180,1224386,,,,,,,,,,,,23-08-2020,Dadra and Nagar Haveli and Daman and Diu,51580,48995,2161
3453,26-06-2020,8:00 AM,Tamil Nadu,-,-,39999,911,70977,16-03-2021,Karnataka,1621831,274440,2057,1271286,350545,608554,662594,138,16074,1605757,,2298,,,,449054,369813,451073,,,,24-08-2020,Dadra and Nagar Haveli and Daman and Diu,51843,49322,2181
3454,26-06-2020,8:00 AM,Telengana,-,-,4688,230,11364,17-03-2021,Karnataka,2013637,427880,3444,1649513,364124,792662,856669,182,21237,1992400,,2306,,,,460322,444273,743513,,,,25-08-2020,Dadra and Nagar Haveli and Daman and Diu,52160,49538,2203
3455,26-06-2020,8:00 AM,Tripura,-,-,1019,1,1290,18-03-2021,Karnataka,2124428,268930,1958,1752016,372412,842262,909560,194,28245,2096183,,2311,,,,467911,472520,810161,,,,26-08-2020,Dadra and Nagar Haveli and Daman and Diu,52524,49806,2228
3456,26-06-2020,8:00 AM,Uttarakhand,-,-,1758,36,2691,19-03-2021,Karnataka,2371563,443280,3548,1987433,384130,952427,1034791,215,40560,2331003,,2320,,,,479656,532481,973825,,,,27-08-2020,Dadra and Nagar Haveli and Daman and Diu,52859,50236,2266
3457,26-06-2020,8:00 AM,Uttar Pradesh,-,-,13119,611,20193,20-03-2021,Karnataka,2578280,451230,3671,2182510,395770,1044384,1137892,234,66464,2511816,,2328,,,,491694,588747,1100582,,,,28-08-2020,Dadra and Nagar Haveli and Daman and Diu,53227,50539,2290
3458,26-06-2020,8:00 AM,West Bengal,-,-,10190,606,15648,21-03-2021,Karnataka,2611299,144950,1097,2214176,397123,1059302,1154634,240,71413,2539886,,2337,,,,494055,599127,1119499,,,,29-08-2020,Dadra and Nagar Haveli and Daman and Diu,53527,50809,2306
3459,26-06-2020,8:00 AM,Cases being reassigned to states,-,-,0,0,8123,22-03-2021,Karnataka,2806130,484730,3936,2399962,406168,1144372,1255328,262,110840,2695290,,2342,,,,501768,647975,1248698,,,,30-08-2020,Dadra and Nagar Haveli and Daman and Diu,53769,51141,2340
3460,27-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,72,23-03-2021,Karnataka,2954336,375880,2994,2539195,415141,1209220,1329701,274,161808,2792528,,2344,,,,511092,691509,1335057,,,,31-08-2020,Dadra and Nagar Haveli and Daman and Diu,54194,48426,
3461,27-06-2020,8:00 AM,Andhra Pradesh,-,-,5196,148,11489,24-03-2021,Karnataka,3140034,514570,4255,2716069,423965,1291036,1424740,293,226117,2913917,,2348,,,,519756,742024,1452734,,,,01-09-2020,Dadra and Nagar Haveli and Daman and Diu,54566,51761,
3462,27-06-2020,8:00 AM,Arunachal Pradesh,-,-,42,1,172,25-03-2021,Karnataka,3234506,327530,2592,2805919,428587,1333339,1472280,300,270281,2964225,,2353,,,,524781,771216,1508363,,,,02-09-2020,Dadra and Nagar Haveli and Daman and Diu,54964,52110,
3463,27-06-2020,8:00 AM,Assam,-,-,4259,9,6607,26-03-2021,Karnataka,3396982,525850,4394,2960802,436180,1405527,1554963,312,323185,3073797,,2358,,,,532652,819060,1607491,,,,03-09-2020,Dadra and Nagar Haveli and Daman and Diu,55345,52449,
3464,27-06-2020,8:00 AM,Bihar,-,-,6762,58,8716,27-03-2021,Karnataka,3522500,447531,3717,3080769,441731,1461483,1618958,328,353843,3168657,,2363,,,,540694,862219,1676249,,,,04-09-2020,Dadra and Nagar Haveli and Daman and Diu,55688,52795,
3465,27-06-2020,8:00 AM,Chandigarh,-,-,335,6,425,28-03-2021,Karnataka,3542620,219350,1768,3100377,442243,1470931,1629114,332,356600,3186020,,2365,,,,542239,869984,1686546,,,,05-09-2020,Dadra and Nagar Haveli and Daman and Diu,56008,53134,
3466,27-06-2020,8:00 AM,Chhattisgarh,-,-,1914,13,2545,29-03-2021,Karnataka,3682325,522590,4326,3234131,448194,1531084,1702703,344,378391,3303934,,2368,,,,548729,912209,1771571,,,,06-09-2020,Dadra and Nagar Haveli and Daman and Diu,56174,53396,
3467,27-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,41,0,163,30-03-2021,Karnataka,3800933,452550,3730,3346567,454366,1581954,1764252,361,395682,3405251,,2373,,,,555147,953554,1836227,,,,07-09-2020,Dadra and Nagar Haveli and Daman and Diu,56476,53554,
3468,27-06-2020,8:00 AM,Delhi,-,-,47091,2492,77240,31-03-2021,Karnataka,3952215,541080,4529,3489527,462688,1647009,1842139,379,412737,3539478,,2379,,,,563318,1004149,1920381,,,,08-09-2020,Dadra and Nagar Haveli and Daman and Diu,56839,53816,
3469,27-06-2020,8:00 AM,Goa,-,-,370,2,1039,01-04-2021,Karnataka,4066715,452680,3875,3599566,467149,1698361,1900816,389,425440,3641275,,2381,,,,567373,1067206,1963298,,,,09-09-2020,Dadra and Nagar Haveli and Daman and Diu,57220,54125,
3470,27-06-2020,8:00 AM,Gujarat,-,-,22030,1771,30095,02-04-2021,Karnataka,4266426,514400,4568,3793071,473355,1788626,2004033,412,442763,3823663,,2386,,,,573707,1185018,2032646,,,,10-09-2020,Dadra and Nagar Haveli and Daman and Diu,57587,54482,
3471,27-06-2020,8:00 AM,Haryana,-,-,8016,211,12884,03-04-2021,Karnataka,4450751,591470,5431,3971518,479233,1871702,2099382,434,454895,3995856,,2388,,,,579191,1292667,2097951,,,,11-09-2020,Dadra and Nagar Haveli and Daman and Diu,57888,54827,
3472,27-06-2020,8:00 AM,Himachal Pradesh,-,-,502,9,864,04-04-2021,Karnataka,4592345,510310,4510,4108669,483676,1936005,2172207,457,464461,4127884,,2396,,,,583070,1380617,2143269,,,,12-09-2020,Dadra and Nagar Haveli and Daman and Diu,58336,55096,
3473,27-06-2020,8:00 AM,Jammu and Kashmir,-,-,4080,91,6762,05-04-2021,Karnataka,4765091,675771,6103,4274168,490923,2009976,2263714,478,478207,4286884,,2401,,,,583316,1480104,2209031,,,,13-09-2020,Dadra and Nagar Haveli and Daman and Diu,58530,55531,
3474,27-06-2020,8:00 AM,Jharkhand,-,-,1643,12,2290,06-04-2021,Karnataka,4874443,705350,6304,4378738,495705,2057498,2320752,488,491658,4382785,,2405,,,,583468,1546571,2246979,,,,14-09-2020,Dadra and Nagar Haveli and Daman and Diu,59154,55686,2763
3475,27-06-2020,8:00 AM,Karnataka,-,-,6916,180,11005,07-04-2021,Karnataka,5193089,743223,6734,4681696,511393,2194018,2487150,528,522784,4670305,,2417,,,,583935,1734612,2361430,,,,15-09-2020,Dadra and Nagar Haveli and Daman and Diu,59530,56305,2783
3476,27-06-2020,8:00 AM,Kerala,-,-,2008,22,3876,08-04-2021,Karnataka,5463170,739551,6527,4936256,526914,2310232,2625464,560,541190,4921980,,2426,,,,584226,1893421,2456890,,,,16-09-2020,Dadra and Nagar Haveli and Daman and Diu,59771,56646,2810
3477,27-06-2020,8:00 AM,Ladakh,-,-,358,1,946,09-04-2021,Karnataka,5788229,817850,7338,5241266,546963,2451971,2788693,602,555182,5233047,,2434,,,,586619,2086069,2566857,,,,17-09-2020,Dadra and Nagar Haveli and Daman and Diu,60237,56905,2831
3478,27-06-2020,8:00 AM,Madhya Pradesh,-,-,9804,546,12798,10-04-2021,Karnataka,6066457,752250,6838,5502062,564395,2575155,2926258,649,566845,5499612,,2442,,,,589227,2254327,2656782,,,,18-09-2020,Dadra and Nagar Haveli and Daman and Diu,60738,57338,2859
3479,27-06-2020,8:00 AM,Maharashtra,-,-,79815,7106,152765,11-04-2021,Karnataka,6208540,692240,6163,5635988,572552,2640037,2995283,668,572077,5636463,,2449,,,,590532,2340569,2703160,,,,19-09-2020,Dadra and Nagar Haveli and Daman and Diu,61270,57759,2887
3480,27-06-2020,8:00 AM,Manipur,-,-,393,0,1075,12-04-2021,Karnataka,6407151,779510,6980,5814005,593146,2729159,3084145,701,578395,5828756,,2457,,,,593719,2454248,2764307,,,,20-09-2020,Dadra and Nagar Haveli and Daman and Diu,61482,58254,2924
3481,27-06-2020,8:00 AM,Meghalaya,-,-,42,1,47,13-04-2021,Karnataka,6446449,679710,6051,5848181,598268,2747459,3100011,711,580152,5866297,,2460,,,,594496,2477094,2774859,,,,21-09-2020,Dadra and Nagar Haveli and Daman and Diu,62055,58459,2933
3482,27-06-2020,8:00 AM,Mizoram,-,-,30,0,145,14-04-2021,Karnataka,6550378,702910,6246,5935191,615187,2789071,3145397,723,585978,5964400,,2463,,,,595473,2533761,2804222,,,,23-09-2020,Dadra and Nagar Haveli and Daman and Diu,63047,59438,2962
3483,27-06-2020,8:00 AM,Nagaland,-,-,162,0,371,15-04-2021,Karnataka,6704302,713610,6219,6060959,643343,2847597,3212623,739,595970,6108332,,2467,,,,597673,2611371,2850173,,,,24-09-2020,Dadra and Nagar Haveli and Daman and Diu,63512,59995,2977
3484,27-06-2020,8:00 AM,Odisha,-,-,4422,17,6180,16-04-2021,Karnataka,6910211,753660,6538,6226534,683677,2925945,3299828,761,613354,6296857,,2471,,,,601463,2714568,2908765,,,,26-09-2020,Dadra and Nagar Haveli and Daman and Diu,64336,60848,2996
3485,27-06-2020,8:00 AM,Puducherry,-,-,187,9,502,17-04-2021,Karnataka,7191885,740050,6682,6449119,742766,3031185,3417138,796,642055,6549830,,2474,,,,606671,2855049,2985658,,,,27-09-2020,Dadra and Nagar Haveli and Daman and Diu,64691,61264,3002
3486,27-06-2020,8:00 AM,Punjab,-,-,3201,122,4957,18-04-2021,Karnataka,7296541,707510,6265,6532361,764180,3071706,3459851,804,654574,6641967,,2476,,,,608452,2908828,3013337,,,,28-09-2020,Dadra and Nagar Haveli and Daman and Diu,65134,61618,3012
3487,27-06-2020,8:00 AM,Rajasthan,-,-,13062,380,16660,19-04-2021,Karnataka,7542740,810010,7256,6710926,831814,3157425,3552673,828,688768,6853972,,2478,,,,613534,3016712,3078937,,,,29-09-2020,Dadra and Nagar Haveli and Daman and Diu,65539,62045,3032
3488,27-06-2020,8:00 AM,Sikkim,-,-,39,0,86,20-04-2021,Karnataka,7768341,829600,7385,6871164,897177,3236053,3634252,859,723260,7045081,,2482,,,,619385,3114152,3135887,,,,30-09-2020,Dadra and Nagar Haveli and Daman and Diu,65953,62439,3040
3489,27-06-2020,8:00 AM,Tamil Nadu,-,-,41357,957,74622,21-04-2021,Karnataka,7957698,774590,6960,7004724,952974,3302074,3701769,881,753927,7203771,,2487,,,,624778,3195370,3182837,,,,01-10-2020,Dadra and Nagar Haveli and Daman and Diu,66337,62840,3054
3490,27-06-2020,8:00 AM,Telengana,-,-,4766,237,12349,22-04-2021,Karnataka,8189265,802100,7148,7158532,1030733,3378086,3779537,909,788176,7401089,,2489,,,,631531,3289216,3236032,,,,02-10-2020,Dadra and Nagar Haveli and Daman and Diu,66566,63228,3063
3491,27-06-2020,8:00 AM,Tripura,-,-,1055,1,1325,23-04-2021,Karnataka,8446284,826360,7407,7334071,1112213,3469082,3864056,933,829495,7616789,,2493,,,,642102,3398784,3291423,,,,03-10-2020,Dadra and Nagar Haveli and Daman and Diu,67029,63509,3070
3492,27-06-2020,8:00 AM,Uttarakhand,-,-,1822,37,2725,24-04-2021,Karnataka,8592838,700250,6474,7439115,1153723,3526465,3911703,947,854160,7738678,,2493,,,,647456,3467982,3321906,,,,04-10-2020,Dadra and Nagar Haveli and Daman and Diu,67272,63873,3087
3493,27-06-2020,8:00 AM,Uttar Pradesh,-,-,13583,630,20943,25-04-2021,Karnataka,8673546,705670,6449,7495232,1178314,3556456,3937819,957,861190,7812356,,2493,,,,650043,3504285,3339129,,,,05-10-2020,Dadra and Nagar Haveli and Daman and Diu,67666,64129,3092
3494,27-06-2020,8:00 AM,West Bengal,-,-,10535,616,16190,26-04-2021,Karnataka,8892099,763690,6974,7631765,1260334,3626966,4003824,975,882421,8009678,,2495,,,,657068,3587685,3385235,,,,06-10-2020,Dadra and Nagar Haveli and Daman and Diu,68056,64498,3103
3495,27-06-2020,8:00 AM,Cases being reassigned to states,-,-,0,0,8023,27-04-2021,Karnataka,9088000,782540,7108,7750770,1337230,3687912,4061863,995,896837,8191163,,2496,,,,810340,3513734,3424909,,,,07-10-2020,Dadra and Nagar Haveli and Daman and Diu,68466,64888,3120
3496,28-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,72,28-04-2021,Karnataka,9276973,698750,6546,7864503,1412470,3746951,4116541,1011,908939,8368034,,2496,,,,818650,3581901,3462155,,,,08-10-2020,Dadra and Nagar Haveli and Daman and Diu,68831,65283,3132
3497,28-06-2020,8:00 AM,Andhra Pradesh,-,-,5480,157,12285,29-04-2021,Karnataka,9400272,701840,6501,7940695,1459577,3788002,4151668,1025,920031,8480241,,2496,,,,825212,3628975,3485037,,,,09-10-2020,Dadra and Nagar Haveli and Daman and Diu,69192,65638,3140
3498,28-06-2020,8:00 AM,Arunachal Pradesh,-,-,54,1,177,30-04-2021,Karnataka,9642439,749050,7030,8090917,1551522,3868438,4221433,1046,930091,8712348,,2497,,,,838459,3720768,3530178,,,,10-10-2020,Dadra and Nagar Haveli and Daman and Diu,69529,65980,3152
3499,28-06-2020,8:00 AM,Assam,-,-,4500,9,6816,01-05-2021,Karnataka,9776943,631535,6053,8178490,1598453,3915651,4261784,1055,935680,8841263,,2499,,,,847149,3775336,3554491,,,,11-10-2020,Dadra and Nagar Haveli and Daman and Diu,69785,66324,3163
3500,28-06-2020,8:00 AM,Bihar,-,-,6843,59,8931,02-05-2021,Karnataka,9817518,532150,5106,8204770,1612748,3929605,4274104,1061,938372,8879146,,2499,,,,844933,3797125,3561286,,,,13-10-2020,Dadra and Nagar Haveli and Daman and Diu,70514,66935,3168
3501,28-06-2020,8:00 AM,Chandigarh,-,-,335,6,428,03-05-2021,Karnataka,9901051,649720,6155,8253648,1647403,3956396,4296182,1070,944843,8956208,,2501,,,,851427,3825697,3575095,,,,14-10-2020,Dadra and Nagar Haveli and Daman and Diu,70815,67297,3171
3502,28-06-2020,8:00 AM,Chhattisgarh,-,-,1914,13,2545,04-05-2021,Karnataka,9962735,615350,5857,8289078,1673657,3975921,4312066,1091,950466,9012269,,2501,,,,857692,3845675,3584267,,,,15-10-2020,Dadra and Nagar Haveli and Daman and Diu,71144,67588,3172
3503,28-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,55,0,177,05-05-2021,Karnataka,10150823,715825,6731,8387120,1763703,4028325,4357686,1109,955020,9195803,,2502,,,,870392,3901947,3613333,,,,16-10-2020,Dadra and Nagar Haveli and Daman and Diu,71386,67909,3177
3504,28-06-2020,8:00 AM,Delhi,-,-,49301,2558,80188,06-05-2021,Karnataka,10314190,665650,6306,8468403,1845787,4072788,4394486,1129,960947,9353243,,2504,,,,883378,3947529,3636041,,,,17-10-2020,Dadra and Nagar Haveli and Daman and Diu,71664,68164,3180
3505,28-06-2020,8:00 AM,Goa,-,-,420,2,1128,07-05-2021,Karnataka,10450470,729950,6822,8527328,1923142,4104609,4421578,1141,974772,9475698,,2506,,,,892731,3978895,3654245,,,,18-10-2020,Dadra and Nagar Haveli and Daman and Diu,71807,68439,3183
3506,28-06-2020,8:00 AM,Gujarat,-,-,22409,1789,30709,08-05-2021,Karnataka,10596894,694450,6532,8577077,2019817,4129814,4446112,1151,996834,9600060,,2505,,,,900271,4004044,3671301,,,,19-10-2020,Dadra and Nagar Haveli and Daman and Diu,72136,68578,3185
3507,28-06-2020,8:00 AM,Haryana,-,-,8472,218,13427,09-05-2021,Karnataka,10643323,580800,5579,8591372,2051951,4137053,4453164,1155,1005810,9637513,,2507,,,,902905,4011205,3675799,,,,20-10-2020,Dadra and Nagar Haveli and Daman and Diu,72410,68894,3194
3508,28-06-2020,8:00 AM,Himachal Pradesh,-,-,509,9,894,10-05-2021,Karnataka,10772140,683600,6375,8638830,2133310,4162385,4475284,1161,1019608,9752532,,2510,,,,917054,4029967,3690259,,,,01-04-2020,Delhi,2621,,
3509,28-06-2020,8:00 AM,Jammu and Kashmir,-,-,4225,93,6966,11-05-2021,Karnataka,10963129,616070,5596,8718545,2244584,4207074,4510291,1180,1029732,9933397,,2512,,,,950533,4057444,3708914,,,,07-04-2020,Delhi,9041,7308,576
3510,28-06-2020,8:00 AM,Jharkhand,-,-,1724,12,2339,12-05-2021,Karnataka,11102044,602683,5509,8792803,2309241,4248850,4542762,1191,1040062,10061982,,2513,,,,984192,4082490,3724394,,,,09-04-2020,Delhi,9968,8643,720
